Volgnr.;Naam;h;b;tw;tf;Wel;Wpl;Wel-z;Wpl-z;A;r;Iy;Izwakke as;kN/m;id_1;Naam_1;Volgnr_1
54;HEA 550 corrosie 100 jr.;537.6;297.6;10.1;21.6;3703410;4089590;638620;976339;18495;27;995475227;95026700;14.518;3;;54
55;HEA 600;590;300;13;25;4787000;5350000;751000;1156000;22650;27;1412000000;112700000;1.778;1;HEA 600;55
56;HEA 600 corrosie 50 jr.;588.8;298.8;11.8;23.8;4540568;5052570;709539;1089060;21254;27;1336743139;106005142;16.684;2;;56
57;HEA 600 corrosie 100 jr.;587.6;297.6;10.6;22.6;4335160;4824180;668406;1026740;20388;27;1273670195;99458900;16.005;3;;57
58;HEA 650;640;300;13.5;26;5474000;6136000;782000;1204000;24160;27;1752000000;117200000;1.897;1;HEA 650;58
59;HEA 650 corrosie 50 jr.;638.8;298.8;12.3;24.8;5200108;5803432;739441;1137300;22713;27;1660914535;110472549;17.829;2;;59
60;HEA 650 corrosie 100 jr.;637.6;297.6;11.1;23.6;4920980;5466060;697881;1070800;21245;27;1568809032;103845000;16.677;3;;60
61;HEA 700;690;300;14.5;27;6241000;7032000;812000;1256000;26050;27;2152999900;121800000;2.045;1;HEA 700;61
62;HEA 700 corrosie 50 jr.;688.8;298.8;13.3;25.8;5937606;6662640;769481;1188160;24538;27;2044911460;114960411;19.262;2;;62
63;HEA 700 corrosie 100 jr.;687.6;297.6;12.1;24.6;5629290;6288560;727636;1120590;23012;27;1935348489;108272000;18.064;3;;63
64;HEA 800;790;300;15;28;7682000;8700000;843000;1312000;28580;30;3033999900;126400000;2.244;1;HEA 800;64
65;HEA 800 corrosie 50 jr.;788.8;298.8;13.8;26.8;7318637;8254020;799842;1242300;26958;30;2886470518;119496408;21.162;2;;65
66;HEA 800 corrosie 100 jr.;787.6;297.6;12.6;25.6;6947640;7801280;757689;1173320;25312;30;2735981366;112744000;1.987;3;;66
67;HEA 900;890;300;16;30;9485000;10812000;903000;1414000;32100;30;4221000000;135500000;2.516;1;HEA 900;67
68;HEA 900 corrosie 50 jr.;888.8;298.8;14.8;28.8;9056754;10282461;859863;1342500;30309;30;4024821482;128463503;23.792;2;;68
69;HEA 900 corrosie 100 jr.;887.6;297.6;13.6;27.6;8620140;9745620;817152;1271550;28544;30;3825619784;121592000;22.407;3;;69
70;HEA 1000;990;300;16.5;31;11190000;12824000;934000;1470000;34700;30;5538000000;140000000;2.723;1;HEA 1000;70
71;HEA 1000 corrosie 50 jr.;988.8;298.8;15.3;29.8;10691020;12206200;890015;1396200;32821;30;5285640473;132968217;25.765;2;;71
72;HEA 1000 corrosie 100 jr.;987.6;297.6;14.1;28.6;10183700;11578800;846999;1323780;30938;30;5028689145;126033000;24.286;3;;72
73;HEB 100;100;100;6;10;89900;104200;33500;51420;2604;12;4500000;1673000;0.2044;1;HEB 100;73
74;HEB 100 corrosie 50 jr.;98.8;98.8;4.8;8.8;79554;90986;28730;44071;2256;12;3929995;1419290;0.1771;2;;74
75;HEB 100 corrosie 100 jr.;97.6;97.6;3.6;7.6;69023;77770;24206;37042;1908;12;3368332;1181260;0.1497;3;;75
76;HEB 120 ;120;120;6.5;11;144100;165200;52900;81000;3400;12;8640000;3180000;0.2669;1;HEB 120 ;76
77;HEB 120 corrosie 50 jr.;118.8;118.8;5.3;9.8;128729;148912;46198;70538;2982;12;7646500;2744178;0.2341;2;;77
78;HEB 120 corrosie 100 jr.;117.6;117.6;4.1;8.6;113163;126618;39716;60499;2562;12;6653992;2335320;0.2011;3;;78
79;HEB 140;140;140;7;12;215600;245400;78500;119800;4300;12;15090000;5500000;0.337;1;HEB 140;79
80;HEB 140 corrosie 50 jr.;138.8;138.8;5.8;10.8;194319;218912;69451;105736;3805;12;13485710;4819910;0.2987;2;;80
81;HEB 140 corrosie 100 jr.;137.6;137.6;4.6;9.6;172744;192398;60659;92149;3315;12;11884781;4173328;0.2601;3;;81
82;HEB 160;160;160;8;13;311500;354000;111200;170000;5430;15;24920000;8890000;0.426;1;HEB 160;82
83;HEB 160 corrosie 50 jr. ;158.8;158.8;6.8;11.8;283521;319306;99371;151702;4866;15;22511598;7890039;0.382;2;;83
84;HEB 160 corrosie 100 jr.;157.6;157.6;5.6;10.6;255105;284516;87904;133946;4304;15;20102306;6926854;0.3379;3;;84
85;HEB 180;180;180;8.5;14;426000;481400;151400;231000;6530;15;38310000;13630000;0.512;1;HEB 180;85
86;HEB 180 corrosie 50 jr.;178.8;178.8;7.3;12.8;389828;437316;136588;208052;5895;15;34850626;12211003;0.4627;2;;86
87;HEB 180 corrosie 100 jr.;177.6;177.6;6.1;11.6;353464;393029;122107;185665;5261;15;31387606;10843093;0.413;3;;87
88;HEB 200;200;200;9;15;570000;642000;200300;305800;7810;18;20030000;20030000;0.613;1;HEB 200;88
89;HEB 200 corrosie 50 jr.;198.8;198.8;7.8;13.8;525185;588053;182086;277594;7109;18;52203388;18099366;0.558;2;;89
90;HEB 200 corrosie 100 jr.;197.6;197.6;6.6;12.6;480019;533181;164228;249986;6404;18;47425882;16225719;0.5027;3;;90
91;HEB 220;220;220;9.5;16;736000;828000;258500;393800;9100;18;80910000;28430000;0.715;1;HEB 220;91
92;HEB 220 corrosie 50 jr.;218.8;218.8;8.3;14.8;681311;760822;236468;359886;8333;18;74535373;25869608;0.6542;2;;92
93;HEB 220 corrosie 100 jr.;217.6;217.6;7.1;13.6;626251;694171;214890;326570;7557;18;68136126;23380080;0.5932;3;;93
94;HEB 240;240;240;10;17;938000;1054000;327000;498400;10600;21;112600000;39230000;0.832;1;HEB 240;94
95;HEB 240 corrosie 50 jr.;238.8;238.8;8.8;15.8;873632;974394;300762;458094;9760;21;104311669;35910970;0.7661;2;;95
96;HEB 240 corrosie 100 jr.;237.6;237.6;7.6;14.6;807849;894886;275102;418469;8912;21;95972421;32682089;0.6996;3;;96
97;HEB 260;260;260;10;17.5;1150000;1282000;395000;602200;11840;24;149200000;51350000;0.93;1;HEB 260;97
98;HEB 260 corrosie 50 jr.;258.8;258.8;8.8;16.3;1071290;1190390;364441;554956;10912;24;138346425;47163455;0.8566;2;;98
99;HEB 260 corrosie 100 jr.;257.6;257.6;7.6;15.1;993381;1096675;334490;509004;10017;24;127947452;43082319;0.7864;3;;99
100;HEB 280;280;280;10.5;18;1380000;1534000;471000;718000;13140;24;192700000;65950000;1.031;1;HEB 280;100
101;HEB 280 corrosie 50 jr.;278.8;278.8;9.3;16.8;1286999;1426645;435855;663382;12158;24;179407584;60758249;0.9544;2;;101
102;HEB 280 corrosie 100 jr.;277.6;277.6;8.1;15.6;1195836;1317549;401211;609970;11167;24;165982039;55688106;0.8766;3;;102
103;HEB 300;300;300;11;19;1680000;1868000;571000;870000;14910;27;251700000;85630000;1.17;1;HEB 300;103
104;HEB 300 corrosie 50 jr.;298.8;298.8;9.8;17.8;1575116;1745173;530519;808047;13862;27;235322305;79259571;10.881;2;;104
105;HEB 300 corrosie 100 jr.;297.6;297.6;8.6;16.6;1470292;1619786;490749;746721;12799;27;218779397;73023518;10.047;3;;105
106;HEB 320;320;300;11.5;20.5;1930000;2150000;616000;940000;16130;27;308200000;92390000;1.267;1;HEB 320;106
